Points_0 Points_1 Points_2 Points_Magnitude U_0 U_1 U_2 U_Magnitude arc_length p Point ID vtkValidPointMask
0.928 2 0 2.20481 0.104105 -8.27e-10 0 0.104105 0.928 0.112657 58 1
0.944 2 0 2.21159 0.104231 -7.50864e-10 0 0.104231 0.944 0.112645 59 1
0.96 2 0 2.21847 0.104358 -7.49933e-10 0 0.104358 0.96 0.112633 60 1
0.976 2 0 2.22544 0.104485 -8.0766e-10 0 0.104485 0.976 0.11262 61 1
0.992 2 0 2.2325 0.104614 -9.36183e-10 0 0.104614 0.992 0.112608 62 1
1.008 2 0 2.23966 0.104744 -1.00044e-09 0 0.104744 1.008 0.112596 63 1
1.024 2 0 2.2469 0.104875 -1.00044e-09 0 0.104875 1.024 0.112583 64 1
1.04 2 0 2.25424 0.105007 -1.00044e-09 0 0.105007 1.04 0.112571 65 1
1.056 2 0 2.26167 0.10514 -1.00044e-09 0 0.10514 1.056 0.112558 66 1
1.072 2 0 2.26918 0.105273 -1.00044e-09 0 0.105273 1.072 0.112545 67 1
1.088 2 0 2.27678 0.105408 -1.00044e-09 0 0.105408 1.088 0.112532 68 1
1.104 2 0 2.28447 0.105544 -1.08159e-09 0 0.105544 1.104 0.112519 69 1
1.12 2 0 2.29225 0.10568 -1.20825e-09 0 0.10568 1.12 0.112506 70 1
1.136 2 0 2.30011 0.105817 -1.33619e-09 0 0.105817 1.136 0.112493 71 1
1.152 2 0 2.30805 0.105954 -1.46471e-09 0 0.105954 1.152 0.112479 72 1
1.168 2 0 2.31608 0.106093 -1.50022e-09 0 0.106093 1.168 0.112466 73 1
1.184 2 0 2.32419 0.106232 -1.50208e-09 0 0.106232 1.184 0.112452 74 1
1.2 2 0 2.33238 0.106372 -1.50394e-09 0 0.106372 1.2 0.112438 75 1
1.216 2 0 2.34065 0.106512 -1.5058e-09 0 0.106512 1.216 0.112425 76 1
1.232 2 0 2.349 0.106653 -1.50458e-09 0 0.106653 1.232 0.112411 77 1
