1		308.9813084
23.07692308	350.1028037
36.92307692	398.9345794
69.23076923	442.6261682
78.46153846	478.6074766
96.92307692	527.4392523
120		558.2803738
147.6923077	583.9813084
184.6153846	622.5327103
244.6153846	653.3738318
281.5384615	686.7850467
304.6153846	715.0560748
336.9230769	753.6074766
387.6923077	758.7476636
489.2307692	751.0373832
563.0769231	751.0373832
664.6153846	745.8971963
775.3846154	745.8971963
923.0769231	751.0373832
1084.615385	751.0373832
1195.384615	748.4672897
